id,Category,Description,Usage Details,Include Tagset from ID,Add Tagset,Final Tagset,Haste Choice
1,Damper,Outside air damper,Refers to a single outside air damper which is used for  economizing and ventilation purposes.,17,outside,outside damper actuator equip,
2,Damper,Economizing damper,Denotes a damper in an outside duct that is used to reduce conditioning requirements,1,economizer,economizer outside damper actuator equip,
3,Damper,Outside air and economizing damper,"Denotes a damper in an outside duct used for ventilation purposes, not economizing.",1,ventilation,ventilation outside damper actuator equip,
4,Discharge fan,On/off discharge fan,On/off fan used in the discharge air stream,13,discharge,discharge singleSpeed fan motor equip,TRUE
5,Discharge fan,Variable speed discharge fan,Variable speed fan used in the discharge air stream,14,discharge,discharge continuous fan motor equip,TRUE
6,Discharge fan,Multi-speed discharge fan,Stepped fan used in the discharge air stream,15,discharge,discharge multiStage numStages:N fan motor equip,FALSE
7,Return fan,On/off return fan,On/off fan used in the return air stream,13,return,return singleSpeed fan motor equip,TRUE
8,Return fan,Variable speed return fan,Variable speed fan used in the return air stream,14,return,return continuous fan motor equip,TRUE
9,Return fan,Multi-speed return fan,Stepped fan used in the return air stream,15,return,return multiStage numStages:N fan motor equip,FALSE
10,Exhaust fan,On/off exhaust fan,On/off fan used in the exhaust air stream,13,exhaust,exhaust singleSpeed fan motor equip,TRUE
11,Exhaust fan,Variable speed exhaust fan,Variable speed fan used in the exhaust air stream,14,exhaust,exhaust continuous fan motor equip,TRUE
12,Exhaust fan,Multi-speed exhaust fan,Stepped fan used in the exhaust air stream,15,exhaust,exhaust multiStage numStages:N fan motor equip,FALSE
13,Fan,On/off fan,Used to describe a fan with on/off control capabilities.,16,singleSpeed,singleSpeed fan motor equip,
14,Fan,Variable speed fan,"Used to describe a fan which receives a control signal as a percentage, typically 0% - 100%. This does not guarantee the fan has continuous operating points, i.e. it might only be able to ramp in 5% increments.",16,continuous,continuous fan motor equip,
15,Fan,Multi-speed fan,"Used to describe a fan with discrete steps. The numSteps parameter should define the number of discrete operating speeds for the fan motor, excluding off.",16,multiStage numStages:N,multiStage numStages:N fan motor equip,
16,Fan,Fan,"General concept for thing that moves air.  For the sake of simplicity, we couple the fan and motor together.",18,fan motor,fan motor equip,
17,Damper,Damper,"Actuator used to control the flow of air, actuator is for controlling the damper position",18,damper actuator,damper actuator equip,TRUE
18,Equip,Equip,General equipment,,equip,equip,
19,Damper,Open/close damper,Used to describe a damper that is either open or closed,17,openClose,openClose damper actuator equip,
20,Damper,Modulating damper,Used to describe a damper with 0%-100% control capabilities,17,continuous,continuous damper actuator equip,
21,Coil,Coil,An apparatus used to transer energy between two substances.,18,coil,coil equip,
22,Heating coil,Heating coil,An apparatus used to transfer energy into a substance.,18,heatingCoil,heatingCoil equip,FALSE
23,Cooling coil,Cooling coil,An apparatus used to transfer energy out of a substance.,18,coolingCoil,coolingCoil equip,FALSE
24,Heating coil,DX heating coil,"An apparatus used to transfer energy into a substance using a direct expansion refrigeration cycle.  It is recommended to further refine this with a controlStrategyType (singleStage, multiStage, continuous).",22,dxHeating,dxHeating heatingCoil equip,FALSE
25,Cooling coil,DX cooling coil,"An apparatus used to transfer energy out of a substance using a direct expansion refrigeration cycle.  It is recommended to further refine this with a controlStrategyType (singleStage, multiStage, continuous).",23,dxCooling,dxCooling coolingCoil equip,FALSE
26,Heating coil,N-Stage DX heating coil,An apparatus used to transfer energy into a substance using a direct expansion refrigeration cycle with a specific number of stages.,24,multiStage numStages:N,multiStage numStages:N dxHeating heatingCoil equip,FALSE
27,Cooling coil,N-Stage DX cooling coil,An apparatus used to transfer energy out of a substance using a direct expansion refrigeration cycle with a specific number of stages.,25,multiStage numStages:N,multiStage numStages:N dxCooling coolingCoil equip,FALSE
28,Heating coil,Hot water coil,"An apparatus used to transfer energy into a substance using hot water flowing through a coil.  It is recommended to further refine this with a controlStrategyType (singleStage, multiStage, continuous).",22,hotWaterHeating,hotWaterHeating heatingCoil equip,FALSE
29,Heating coil,Steam coil,"An apparatus used to transfer energy into a substance using steam flowing through a coil. It is recommended to further refine this with a controlStrategyType (singleStage, multiStage, continuous).",22,steamHeating,steamHeating heatingCoil equip,FALSE
30,Cooling coil,Chilled water coil,"An apparatus used to transfer energy out of a substance using chilled water flowing through a coil. It is recommended to further refine this with a controlStrategyType (singleStage, multiStage, continuous).",23,chilledWaterCooling,chilledWaterCooling coolingCoil equip,FALSE
31,Heating coil,Electric heating coil,"An apparatus used to transfer energy into a substance using electric resistance. It is recommended to further refine this with a controlStrategyType (singleStage, multiStage, continuous).",22,elecHeating,elecHeating heatingCoil equip,FALSE
32,Heating coil,N-Stage electric heating coil,An apparatus used to transfer energy into a substance using electric resistance with a specific number of stages.,31,multiStage numStages:N,multiStage numStages:N elecHeating heatingCoil equip,FALSE
33,Heating coil,Natural gas heating coil,"An apparatus used to transfer energy into a substance through the combustion of natural gas.  It is recommended to further refine this with a controlStrategyType (singleStage, multiStage, continuous).",22,naturalGasHeating,naturalGasHeating heatingCoil equip,FALSE
34,Heating coil,N-Stage natural gas heating coil,An apparatus used to transfer energy into a substance through the combustion of natural gas with a specific number of stages.,33,multiStage numStages:N,multiStage numStages:N naturalGasHeating heatingCoil equip,FALSE
35,Heating coil,Modulating DX heating coil,An apparatus used to transfer energy into a substance using a direct expansion refrigeration cycle with theoretical control capabilities of 0 - 100%.,24,continuous,continuous dxHeating heatingCoil equip,TRUE
36,Cooling coil,Modulating DX cooling coil,An apparatus used to transfer energy out of a substance using a direct expansion refrigeration cycle with theoretical control capabilities of 0 - 100%.,25,continuous,continuous dxCooling coolingCoil equip,FALSE
37,Heating coil,Modulating electric heating coil,An apparatus used to transfer energy into a substance using electric resistance with theoretical control capabilities of 0 - 100%.,31,continuous,continuous elecHeating heatingCoil equip,TRUE
38,Heating cooling coil,Heating cooling coil,An apparatus used to transfer energy into and out of a substance.  The mode of the equipment determines whether heat should be transferred into (heating) or out of (cooling) the substance,18,heatingCoolingCoil,heatingCoolingCoil equip,
39,Heating cooling coil,Heat pump coil,"A heating cooling coil using a reversible, direct expansion refrigeration cycle.  It is recommended to further refine this with a controlStrategyType (singleStage, multiStage, continuous).",38,dxHeating dxCooling,dxHeating dxCooling heatingCoolingCoil equip,
40,Heating cooling coil,N-Stage heat pump coil,"A heating cooling coil using a reversible, direct expansion refrigeration cycle with a specific number of stages.",39,multiStage numStages:N,multiStage numStages:N dxHeating dxCooling heatingCoolingCoil equip,
